id,text,label,reason
F001,昨天转账两万元到对公账户，页面提示处理中，资金什么时候到账？,转账汇款,用户询问转账到账进度
F002,我的信用卡被盗刷三笔境外消费，请马上冻结并协助争议处理。,盗刷风控,高风险盗刷与冻结诉求
F003,APP登录一直提示设备风险，换手机后无法刷脸认证。,账户安全,账户登录与设备风控问题
F004,房贷提前还款需要预约吗？违约金怎么计算？,贷款咨询,贷款提前还款咨询
F005,理财产品显示净值回撤，这个是不是保本的？,理财咨询,理财产品风险咨询
F006,短信验证码不是我本人操作收到的，银行卡是否有风险？,账户安全,疑似异常操作
F007,我想注销二类账户，里面还有几块钱余额怎么处理？,账户业务,账户注销与余额处理
F008,扣了年费但我没收到通知，要求退回。,费用争议,费用扣费争议
F009,为什么我的转账被拦截？对方是我家人不是诈骗。,风控拦截,转账风控拦截申诉
F010,信用卡账单分期利率看不懂，能解释实际年化吗？,信用卡,信用卡分期咨询
F011,,其他,空文本演示
F012,昨天转账两万元到对公账户，页面提示处理中，资金什么时候到账？,账户业务,重复文本标签冲突
