id,text,label,reason
T001,我申请退款已经三天了，订单还是没有处理，请尽快帮我核实。,退款,用户明确提到退款进度
T002,快递显示签收但我没有收到，能不能帮我查一下物流？,物流,主诉求为物流签收异常
T003,收到的商品破损严重，我要投诉并要求售后处理。,投诉,投诉与售后，但情绪更强烈
T004,这个型号还有黑色库存吗？什么时候可以发货？,咨询,商品咨询
T005,,其他,空文本演示
T006,物流一直不更新，快递停在中转站两天了。,退款,标注存在分歧，实际应为物流
T007,我申请退款已经三天了，订单还是没有处理，请尽快帮我核实。,售后,重复文本且标签不一致
T008,客服答非所问，处理态度非常差。,投诉,差评投诉
T009,可以开发票吗？电子票和纸质票都支持吗？,咨询,票据咨询
T010,退,退款,文本过短
T011,售后维修寄回后多久能完成检测？,售后,维修进度
T012,我想换大一号尺码，能直接换货吗？,售后,换货售后
T013,优惠券为什么结算时不能使用？,咨询,活动规则咨询
T014,配送地址填错了，现在还能改吗？,物流,配送信息变更
T015,收到的颜色和页面展示不一致，怀疑发错货。,售后,商品异常
T016,我要取消订单并退款。,退款,退款取消
T017,你们平台泄露我的手机号，我要投诉。,投诉,隐私投诉
T018,保修期是多久？电池是否单独保修？,咨询,商品保修咨询
T019,包裹已经到驿站但取件码没有收到。,物流,取件问题
T020,质量太差，要求赔偿。,投诉,质量投诉
T021,退货地址发给我。,退款,退款/退货
T022,商品参数页面看不懂，适合老人用吗？,咨询,使用咨询
